ID,Project Name,Camera Trap Name,Latitude,Longitude,Sampling Event,Photo Type,Photo Date,Photo Time,Raw Name,Class,Order,Family,Genus,Species,Subspecies,Number of Animals,Person Identifying the Photo,Camera Serial Number,Camera Start Date,Camera End Date,Person setting up the Camera,Person picking up the Camera,Camera Manufacturer,Camera Model,Sequence Info,Moon Phase,Temperature,Flash,Organization Name
47327,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Setup/Pickup,2010-11-19,12:30:30,11100001.JPG,,,,,,,,,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47328,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Setup/Pickup,2010-11-19,12:31:19,11100024.JPG,,,,,,,,,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47329,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2014-11-19,3:56:05,11140044.JPG,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Coendou,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47330,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2014-11-19,3:56:06,11140045.JPG,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Coendou,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47331,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2014-11-19,3:56:07,11140046.JPG,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Coendou,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47332,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2014-11-19,3:56:11,11140047.JPG,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Coendou,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47333,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2014-11-19,3:56:12,11140048.JPG,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Coendou,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47334,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2014-11-19,3:56:13,11140049.JPG,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Coendou,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47335,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2017-11-19,2:28:35,11170050.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Mazama,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47336,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2017-11-19,2:28:36,11170051.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Mazama,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47337,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2017-11-19,2:28:37,11170052.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Mazama,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47338,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2017-11-19,2:28:40,11170053.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Mazama,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
47339,Estimativa Populacional e Monitoramento de Javalis na FN Silvania,CT-FNS-1-1,-16.814,-48.65228,2019,Animal,2017-11-19,2:28:41,11170054.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Mazama,unknown,,1,Ludmila Tavares e Almeida,B150806844,2010-11-19,2029-11-19,Mariella Butti,Mariella Butti,Bushnell,Trophy Cam HD,,,,0,Floresta Nacional de Silvania; Laboratorio de Pequenos Mamiferos Unievangelica; CENAP
