"project_id","deployment_id","image_id","location","is_blank","identified_by","wi_taxon_id","class","order","family","genus","species","common_name","uncertainty","timestamp","age","sex","animal_recognizable","individual_id","number_of_animals","individual_animal_notes","highlighted","color"
"FNS","FNS_2019_CT-FNS-1-1","FNS_2019_CT-FNS-1-1_11100001.JPG","gs://icmbio/Wild_ID_FNS/FNS_2019_CT-FNS-1-1/11100001.JPG","No","","c47b0c62-3d30-493f-8196-d362cf119cbf","","","","","","Setup_Pickup","","2019-11-10 12:30:30","","","","","","","",""
"FNS","FNS_2019_CT-FNS-1-1","FNS_2019_CT-FNS-1-1_11100024.JPG","gs://icmbio/Wild_ID_FNS/FNS_2019_CT-FNS-1-1/11100024.JPG","No","","c47b0c62-3d30-493f-8196-d362cf119cbf","","","","","","Setup_Pickup","","2019-11-10 12:31:19","","","","","","","",""
"FNS","FNS_2019_CT-FNS-1-1","FNS_2019_CT-FNS-1-1_11140044.JPG","gs://icmbio/Wild_ID_FNS/FNS_2019_CT-FNS-1-1/11140044.JPG","No","Ludmila Tavares e Almeida","014560f7-97dd-48a9-8e3d-fecaf51a4910","Mammalia","Cetartiodactyla","Cervidae","Mazama","","Mazama Species","Absolutely sure","2019-11-14 03:56:05","","","","","1","","",""
"FNS","FNS_2019_CT-FNS-1-1","FNS_2019_CT-FNS-1-1_11140045.JPG","gs://icmbio/Wild_ID_FNS/FNS_2019_CT-FNS-1-1/11140045.JPG","No","Ludmila Tavares e Almeida","014560f7-97dd-48a9-8e3d-fecaf51a4910","Mammalia","Cetartiodactyla","Cervidae","Mazama","","Mazama Species","Absolutely sure","2019-11-14 03:56:06","","","","","1","","",""
"FNS","FNS_2019_CT-FNS-1-1","FNS_2019_CT-FNS-1-1_11140046.JPG","gs://icmbio/Wild_ID_FNS/FNS_2019_CT-FNS-1-1/11140046.JPG","No","Ludmila Tavares e Almeida","014560f7-97dd-48a9-8e3d-fecaf51a4910","Mammalia","Cetartiodactyla","Cervidae","Mazama","","Mazama Species","Absolutely sure","2019-11-14 03:56:07","","","","","1","","",""
"FNS","FNS_2019_CT-FNS-1-1","FNS_2019_CT-FNS-1-1_11140047.JPG","gs://icmbio/Wild_ID_FNS/FNS_2019_CT-FNS-1-1/11140047.JPG","No","Ludmila Tavares e Almeida","014560f7-97dd-48a9-8e3d-fecaf51a4910","Mammalia","Cetartiodactyla","Cervidae","Mazama","","Mazama Species","Absolutely sure","2019-11-14 03:56:11","","","","","1","","",""
"FNS","FNS_2019_CT-FNS-1-1","FNS_2019_CT-FNS-1-1_11140048.JPG","gs://icmbio/Wild_ID_FNS/FNS_2019_CT-FNS-1-1/11140048.JPG","No","Ludmila Tavares e Almeida","014560f7-97dd-48a9-8e3d-fecaf51a4910","Mammalia","Cetartiodactyla","Cervidae","Mazama","","Mazama Species","Absolutely sure","2019-11-14 03:56:12","","","","","1","","",""
"FNS","FNS_2019_CT-FNS-1-1","FNS_2019_CT-FNS-1-1_11140049.JPG","gs://icmbio/Wild_ID_FNS/FNS_2019_CT-FNS-1-1/11140049.JPG","No","Ludmila Tavares e Almeida","014560f7-97dd-48a9-8e3d-fecaf51a4910","Mammalia","Cetartiodactyla","Cervidae","Mazama","","Mazama Species","Absolutely sure","2019-11-14 03:56:13","","","","","1","","",""
"FNS","FNS_2019_CT-FNS-1-1","FNS_2019_CT-FNS-1-1_11170050.JPG","gs://icmbio/Wild_ID_FNS/FNS_2019_CT-FNS-1-1/11170050.JPG","No","Ludmila Tavares e Almeida","89d41ec3-af8a-438a-86dd-4a6cb1819f07","Mammalia","Pilosa","Myrmecophagidae","Tamandua","tetradactyla","Southern Tamandua","Absolutely sure","2019-11-17 02:28:35","","","","","1","","",""
"FNS","FNS_2019_CT-FNS-1-1","FNS_2019_CT-FNS-1-1_11170051.JPG","gs://icmbio/Wild_ID_FNS/FNS_2019_CT-FNS-1-1/11170051.JPG","No","Ludmila Tavares e Almeida","89d41ec3-af8a-438a-86dd-4a6cb1819f07","Mammalia","Pilosa","Myrmecophagidae","Tamandua","tetradactyla","Southern Tamandua","Absolutely sure","2019-11-17 02:28:36","","","","","1","","",""
